name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
Art Therapy Sourcebook,Cathy Malchiodi,1,4.0,17.09,$,23.0,9780071468275,1,dataset/Medical/0000130.jpg
Intuitive Eating,Evelyn Tribole,1,4.0,10.62,$,16.0,9781250004048,1,dataset/Medical/0000132.jpg
Spiritual Midwifery,Ina May Gaskin,1,4.5,18.48,$,22.0,9781570671043,1,dataset/Medical/0000133.jpg
Anatomy of Movement,Blandine Calais-Germain,1,4.0,30.34,$,43.7,9780939616572,1,dataset/Medical/0000135.jpg
Civilization and Its Discontents,Sigmund Freud,1,4.0,4.95,$,6.2,9780141018997,1,dataset/Medical/0000136.jpg
The Gift Of Therapy,Irvin D. Yalom,1,4.5,8.9,$,13.9,9780749923730,1,dataset/Medical/0000138.jpg
Brain Rules (Updated and Expanded),John Medina,1,4.0,12.92,$,12.99,9780983263371,1,dataset/Medical/0000140.jpg
Food Rules,Michael Pollan,1,4.0,10.59,$,12.9,9780143116387,1,dataset/Medical/0000141.jpg
Wheat Belly,William Davis,2,3.5,18.89,$,21.5,9781609611545,1,dataset/Medical/0000143.jpg
"Motivational Interviewing, Third Edition",William R. Miller,2,4.0,48.2,$,58.5,9781609182274,1,dataset/Medical/0000144.jpg
An Anthropologist on Mars,Oliver Sacks,1,4.0,5.86,$,12.9,9780330523608,1,dataset/Medical/0000145.jpg
Girls Only! All About Periods and Growing-Up Stuff,Victoria Parker,1,4.0,5.64,$,8.8,9780340878286,1,dataset/Medical/0000146.jpg
How to Eat Better,James Wong,2,4.5,18.61,$,25.2,9781784721916,1,dataset/Medical/0000147.jpg
Hashimoto's Protocol,Izabella Wentz,2,4.0,16.63,$,29.9,9780062571298,1,dataset/Medical/0000148.jpg
The Wahls Protocol,Terry Wahls,1,4.0,14.87,$,16.99,9781583335543,1,dataset/Medical/0000150.jpg
Pilates Anatomy,Rael Isacowitz,1,4.5,17.1,$,21.1,9780736083867,1,dataset/Medical/0000152.jpg
Quiet the Mind,Matthew Johnstone,1,4.5,7.71,$,11.4,9781780331188,1,dataset/Medical/0000153.jpg
Radical Remission,Kelly A. Turner,1,4.5,13.3,$,16.38,9780062268747,1,dataset/Medical/0000156.jpg
The Immortal Life of Henrietta Lacks,Rebecca Skloot,1,4.0,13.82,$,17.0,9781400052189,1,dataset/Medical/0000157.jpg
The Crystal Bible Volume 2,Judy Hall,1,4.5,13.76,$,19.1,9781841813509,1,dataset/Medical/0000158.jpg
Start Where You Are,Meera Lee Patel,1,4.5,10.51,$,13.9,9781846149191,1,dataset/Medical/0000159.jpg
Birth Skills,Juju Sundin,1,4.0,26.59,$,30.4,9781741750973,1,dataset/Medical/0000160.jpg
Dirty Genes,Ben Lynch,2,4.0,15.35,$,24.0,9780062698148,1,dataset/Medical/0000162.jpg
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,1,4.5,15.65,$,16.0,9781626251700,1,dataset/Medical/0000163.jpg
Genius Foods,Max Lugavere,2,4.0,15.35,$,24.0,9780062562852,1,dataset/Medical/0000164.jpg
"Good Calories, Bad Calories",Gary Taubes,1,4.0,14.38,$,17.0,9781400033461,1,dataset/Medical/0000166.jpg
Havard's Nursing Guide to Drugs,Adriana P. Tiziani,1,5.0,51.81,$,76.6,9780729542548,1,dataset/Medical/0000167.jpg
Hypnobirthing,Marie F. Mongan,1,3.5,17.3,$,20.1,9780757318375,1,dataset/Medical/0000168.jpg
The Continuum Concept,Jean Liedloff,1,4.0,7.95,$,12.4,9780140192452,1,dataset/Medical/0000169.jpg
Trigger Point Therapy Workbook,Clair Davies,1,4.5,19.85,$,26.5,9781608824946,1,dataset/Medical/0000171.jpg
Your Body's Many Cries for Water,F. Batmanghelidj,1,4.0,12.86,$,18.21,9780970245885,1,dataset/Medical/0000172.jpg
The Autoimmune Solution,Amy Myers,2,4.0,24.58,$,28.63,9780062347473,1,dataset/Medical/0000173.jpg
Being Mortal,Atul Gawande,1,4.5,13.25,$,17.0,9781250076229,1,dataset/Medical/0000175.jpg
Mycelium Running,Paul Stamets,1,4.5,21.92,$,34.5,9781580085793,1,dataset/Medical/0000177.jpg
The Beauty Detox Solution,Kimberly Snyder,1,4.0,14.7,$,17.0,9780373892327,1,dataset/Medical/0000178.jpg
Eat to Beat Disease,William Li,1,4.0,18.8,$,21.1,9781785042157,1,dataset/Medical/0000179.jpg
Sensorimotor Psychotherapy,Pat Ogden,2,4.5,39.22,$,44.8,9780393706130,1,dataset/Medical/0000181.jpg
Mindsight,Daniel Siegel,1,4.0,12.27,$,16.0,9781851687930,1,dataset/Medical/0000183.jpg
Put Your Heart in Your Mouth,Dr Natasha Campbell-McBride,1,4.5,10.97,$,16.0,9780954852016,1,dataset/Medical/0000184.jpg
The Eye Of The World,Robert Jordan,1,4.0,10.73,$,11.4,9780356503820,1,dataset/Medical/0000185.jpg
Ayurveda,Sahara Rose Ketabi,1,4.5,15.59,$,20.1,9781465462763,1,dataset/Medical/0000186.jpg
